"","floorspace","num_whole_rooms","num_half_rooms","price","num_rooms"
"1","33","1","0",24.9,1
"2","50","2","0",39,2
"3","101","3","1",69,3.5
"4","80","3","0",65.5,3
"5","50","2","0",41.5,2
"6","48","2","1",42,2.5
"7","76","3","1",41.9,3.5
"8","68","3","0",57.9,3
"9","46","1","1",36.9,1.5
"10","88","3","1",74.9,3.5
"11","36","2","0",26.9,2
"12","79","4","0",44.7,4
"13","65","2","0",42.4,2
"14","65","1","2",51.9,2
"15","130","4","0",82.9,4
"16","54","1","2",41.9,2
"17","54","2","0",32.9,2
"18","23","1","0",26.5,1
"19","46","1","1",41.9,1.5
"20","47","1","1",28.7,1.5
"21","52","2","0",36.9,2
"22","50","2","0",34.5,2
"23","83","2","0",56.6,2
"24","69","2","1",51.9,2.5
"25","33","1","0",22.5,1
"26","53","2","0",26.9,2
"27","56","2","0",44.9,2
"28","56","2","0",36.9,2
"29","59","1","2",31.8,2
"30","46","2","0",24.9,2
"31","104","3","1",48.5,3.5
"32","65","2","1",49.9,2.5
"33","74","2","1",63.9,2.5
"34","40","2","0",29.9,2
"35","46","2","0",25.9,2
"36","46","1","1",26,1.5
"37","36","1","0",22.5,1
"38","40","1","1",26.9,1.5
"39","58","2","2",44.9,3
"40","77","3","0",45,3
"41","50","2","0",35.9,2
"42","51","2","0",37.4,2
"43","55","2","0",43.9,2
"44","50","2","0",35.9,2
"45","47","1","1",34.2,1.5
"46","50","1","1",39.9,1.5
"47","66","3","0",68.8,3
"48","90","4","0",63,4
"49","87","2","1",54.9,2.5
"50","98","4","0",84.9,4
"51","56","2","0",42.9,2
"52","40","1","1",30.9,1.5
"53","118","2","0",108,2
"54","73","3","0",59.9,3
"55","28","1","0",26.3,1
"56","50","2","0",34.5,2
"57","51","2","0",36.2,2
"58","50","2","0",35.9,2
"59","49","2","0",32.9,2
"60","56","2","0",37.5,2
"61","64","2","0",53.9,2
"62","57","3","0",52,3
"63","71","2","0",45.8,2
"64","34","1","0",19.4,1
"65","46","1","1",27.9,1.5
"66","37","2","0",30.5,2
"67","70","3","0",44.9,3
"68","40","1","0",34,1
"69","29","1","0",24.9,1
"70","51","2","0",47.9,2
"71","97","4","0",74.9,4
"72","78","3","1",66.7,3.5
"73","54","1","0",50,1
"74","71","2","1",54.9,2.5
"75","59","2","0",39.9,2
"76","52","2","1",46.5,2.5
"77","55","1","2",65.9,2
"78","40","1","1",32,1.5
"79","66","2","2",41.5,3
"80","40","2","0",24.9,2
"81","77","3","0",41.9,3
"82","51","2","0",33.9,2
"83","43","1","2",38.9,2
"84","71","3","0",41.9,3
"85","93","3","2",48.9,4
"86","57","3","0",37.9,3
"87","74","3","0",68,3
"88","32","1","0",23.9,1
"89","71","2","0",41.9,2
"90","46","2","0",25.8,2
"91","60","1","2",55,2
"92","64","1","2",42.9,2
"93","46","2","0",37.5,2
"94","69","3","0",58,3
"95","85","3","1",49.9,3.5
"96","52","2","0",58.5,2
"97","42","1","1",35,1.5
"98","52","2","0",35.5,2
"99","50","2","0",38.5,2
"100","81","2","1",103,2.5
"101","53","2","0",37.9,2
"102","74","3","0",64.9,3
"103","94","3","0",69.9,3
"104","54","2","0",37.9,2
"105","56","1","2",31.5,2
"106","48","2","0",32.9,2
"107","51","2","0",37.2,2
"108","58","2","0",33.5,2
"109","39","1","1",32,1.5
"110","51","2","0",42.5,2
"111","44","2","0",41.9,2
"112","82","4","1",59.9,4.5
"113","29","1","0",24.9,1
"114","70","3","0",58,3
"115","56","2","0",46.2,2
"116","105","4","0",65,4
"117","62","3","0",39.9,3
"118","46","1","1",25.8,1.5
"119","85","3","1",64.9,3.5
"120","44","2","0",28.9,2
"121","37","1","1",26.5,1.5
"122","51","2","0",39.9,2
"123","173","5","0",148.5,5
"124","57","3","0",36.9,3
"125","53","2","0",33.5,2
"126","46","2","0",37.9,2
"127","58","2","0",44.8,2
"128","52","2","0",41.9,2
"129","57","2","0",49.5,2
"130","46","1","1",30,1.5
"131","54","2","0",32.9,2
"132","75","2","0",34,2
"133","114","3","2",79.8,4
"134","59","3","0",40.9,3
"135","56","2","1",51.9,2.5
"136","45","2","0",31.9,2
"137","50","2","0",57.5,2
"138","31","1","1",23.6,1.5
"139","47","2","0",42,2
"140","82","3","0",44.9,3
"141","46","1","1",35.5,1.5
"142","56","2","1",42,2.5
"143","46","1","1",28,1.5
"144","46","1","1",29.5,1.5
"145","51","3","0",33.9,3
"146","77","3","0",57.9,3
"147","62","3","0",56.9,3
"148","39","1","1",31.9,1.5
"149","43","2","0",40.9,2
"150","79","3","0",79,3
"151","52","2","0",33.9,2
"152","42","1","1",31.5,1.5
"153","46","1","1",25.4,1.5
"154","56","2","0",46.9,2
"155","50","1","1",36.5,1.5
"156","27","1","0",20.9,1
"157","44","2","0",34.9,2
"158","50","2","0",32.5,2
"159","46","1","1",25.8,1.5
"160","52","2","1",37.9,2.5
"161","60","1","2",51.5,2
"162","41","1","1",33.9,1.5
"163","48","2","0",47,2
"164","51","1","1",35.2,1.5
"165","63","3","0",49.9,3
"166","33","1","0",21.5,1
"167","66","1","2",57.9,2
"168","83","3","0",58.4,3
"169","59","2","1",35,2.5
"170","33","1","0",22.9,1
"171","94","3","0",69.9,3
"172","72","3","0",73,3
"173","167","4","2",135,5
"174","57","2","1",39.9,2.5
"175","40","2","0",41.9,2
"176","47","1","1",38.5,1.5
"177","100","3","1",78.9,3.5
"178","71","3","0",86,3
"179","74","2","1",59.9,2.5
"180","76","3","0",54.9,3
"181","50","2","0",46.5,2
"182","32","1","0",22,1
"183","51","1","2",45,2
"184","49","2","0",51,2
"185","65","2","1",52,2.5
"186","39","1","1",34,1.5
"187","46","1","1",25.9,1.5
"188","174","3","0",173,3
"189","71","3","0",78.5,3
"190","75","2","1",66,2.5
"191","37","1","1",28.9,1.5
"192","57","2","1",37.9,2.5
"193","55","2","0",33.9,2
"194","41","1","1",46.5,1.5
"195","43","1","0",29.9,1
"196","68","2","1",33.9,2.5
"197","68","2","0",82,2
"198","70","3","0",44.9,3
"199","52","2","0",38,2
"200","115","3","0",115,3
"201","53","2","0",39.9,2
"202","76","3","0",57.9,3
"203","88","2","2",69.9,3
"204","52","2","0",35.5,2
"205","49","2","0",39.5,2
"206","45","2","0",39.9,2
"207","52","2","0",29.9,2
"208","59","1","3",37.9,2.5
"209","49","1","1",34.5,1.5
"210","74","3","0",64.9,3
"211","49","2","0",38.9,2
"212","47","1","1",31,1.5
"213","55","1","1",36.5,1.5
"214","97","5","0",78.9,5
"215","49","2","0",31.9,2
"216","34","1","0",22.9,1
"217","45","1","1",39.9,1.5
"218","46","1","1",30.9,1.5
"219","51","2","0",41.9,2
"220","40","1","1",31.5,1.5
"221","52","2","0",34.9,2
"222","53","2","0",35,2
"223","83","2","2",65,3
"224","80","4","0",52.9,4
"225","138","4","1",96.6,4.5
"226","51","1","1",39.9,1.5
"227","65","1","2",51.9,2
"228","61","2","1",49.9,2.5
"229","62","3","0",36.5,3
"230","57","3","0",58.9,3
"231","51","2","1",32.2,2.5
"232","46","2","0",27.5,2
"233","48","2","0",36.9,2
"234","46","2","0",27.5,2
"235","68","3","0",41.9,3
"236","52","1","1",36,1.5
"237","11","1","0",18.9,1
"238","46","2","0",41.9,2
"239","52","2","0",28,2
"240","42","2","0",33.5,2
"241","41","2","0",34.9,2
"242","75","3","0",49.9,3
"243","47","1","1",36.5,1.5
"244","44","2","0",26.5,2
"245","49","2","0",43,2
"246","46","2","0",28.6,2
"247","97","3","0",85,3
"248","29","1","0",26,1
"249","94","3","0",69.9,3
"250","46","1","1",25.9,1.5
"251","59","2","0",33.4,2
"252","49","1","1",38,1.5
"253","118","3","0",89.8,3
"254","87","3","0",58,3
"255","40","1","1",29.7,1.5
"256","32","1","0",27.5,1
"257","135","4","1",84.9,4.5
"258","53","2","0",40.9,2
"259","46","2","0",25.9,2
"260","52","2","0",33.7,2
"261","32","1","0",23,1
"262","49","2","0",35.9,2
"263","55","2","0",57,2
"264","49","2","0",36.5,2
"265","43","2","0",34.4,2
"266","62","2","0",39,2
"267","96","3","0",89,3
"268","51","1","0",39.5,1
"269","55","2","0",51.5,2
"270","94","3","1",56,3.5
"271","138","6","0",137.9,6
"272","63","2","0",51.9,2
"273","75","2","0",69.9,2
"274","51","2","0",57,2
"275","91","3","0",79.9,3
"276","64","2","0",43,2
"277","66","3","0",57.5,3
"278","149","4","0",140,4
"279","50","1","1",42.5,1.5
"280","64","2","1",54,2.5
"281","44","2","0",48.5,2
"282","88","4","0",65,4
"283","101","4","0",77,4
"284","48","2","0",54.9,2
"285","46","1","1",27.5,1.5
"286","41","2","0",38,2
"287","63","2","1",62,2.5
"288","60","2","0",41.9,2
"289","44","1","1",34.5,1.5
"290","41","1","1",26.5,1.5
"291","68","3","0",41.9,3
"292","54","2","0",40,2
"293","42","1","1",34.2,1.5
"294","92","2","2",55,3
"295","103","2","2",67.5,3
"296","95","4","0",68,4
"297","66","1","2",32,2
"298","86","4","0",69.5,4
"299","64","2","0",53,2
"300","46","2","0",25.9,2
"301","66","3","0",49.9,3
"302","52","2","1",38.4,2.5
"303","75","3","0",48.9,3
"304","61","3","0",60.8,3
"305","51","2","0",33.9,2
"306","46","1","1",24,1.5
"307","61","2","0",45,2
"308","62","2","0",45,2
"309","46","1","1",27.2,1.5
"310","30","1","0",32.9,1
"311","63","3","0",35.9,3
"312","82","3","0",63,3
"313","45","1","1",29.9,1.5
"314","42","1","0",28.8,1
"315","72","3","0",68.8,3
"316","28","1","0",29.9,1
"317","34","1","0",23.9,1
"318","51","2","0",33.9,2
"319","33","1","0",24,1
"320","61","3","0",52.9,3
"321","47","2","0",30.9,2
"322","64","2","1",53,2.5
"323","63","3","0",35.9,3
"324","33","1","0",22.5,1
"325","38","1","0",23.9,1
"326","135","3","2",59.9,4
"327","59","2","1",55.9,2.5
"328","57","2","1",37.9,2.5
"329","33","1","0",25.9,1
"330","72","2","1",38.9,2.5
"331","77","3","0",41.9,3
"332","46","1","1",22.7,1.5
"333","135","5","1",59.9,5.5
"334","67","2","0",42.9,2
"335","65","2","1",48.9,2.5
"336","46","2","0",42.9,2
"337","58","2","0",48.8,2
"338","35","1","0",35.9,1
"339","62","2","1",32.5,2.5
"340","72","4","0",26.9,4
"341","100","4","0",59.9,4
"342","42","2","0",25.5,2
"343","79","4","0",67.1,4
"344","46","2","0",29.9,2
"345","45","2","0",34.9,2
"346","63","1","2",54,2
"347","59","2","0",55.9,2
"348","46","1","1",29,1.5
"349","108","5","0",83.9,5
"350","69","3","0",44.9,3
"351","46","1","1",28.9,1.5
"352","52","1","1",26.9,1.5
"353","33","1","0",26.5,1
"354","42","1","0",24.5,1
"355","54","1","0",42,1
"356","36","1","0",28.9,1
"357","46","1","1",24.9,1.5
"358","64","2","0",43,2
"359","50","2","0",47.9,2
"360","57","2","0",48.8,2
"361","57","2","0",34.2,2
"362","71","2","0",41.9,2
"363","70","3","0",38.9,3
"364","29","1","0",20.9,1
"365","46","1","1",26.9,1.5
"366","52","2","0",28.9,2
"367","54","2","0",39.9,2
"368","68","3","0",39.9,3
"369","123","3","1",68.8,3.5
"370","57","3","0",52,3
"371","55","2","1",39.7,2.5
"372","52","2","0",31.9,2
"373","24","1","0",20.5,1
"374","52","1","1",31.9,1.5
